TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
714.8000,0.0023341
714.6000,0.00233654
714.4000,0.00233643
714.2000,0.00233511
714.0000,0.00233684
713.8000,0.00233631
713.6000,0.00233714
713.4000,0.00233565
713.2000,0.00233344
713.0000,0.0023332
712.8000,0.00233165
712.6000,0.00233022
712.4000,0.00232878
712.2000,0.00232687
712.0000,0.00232544
711.8000,0.00232675
711.6000,0.0023267
711.4000,0.00232687
711.2000,0.0023264
711.0000,0.00232705
710.8000,0.00232771
710.6000,0.00232562
710.4000,0.00232467
710.2000,0.00232532
710.0000,0.0023255
709.8000,0.00232526
709.6000,0.00232323
709.4000,0.00232132
709.2000,0.00232061
709.0000,0.00232198
708.8000,0.00232365
708.6000,0.00232431
708.4000,0.00232335
708.2000,0.00232246
708.0000,0.00232132
707.8000,0.00232156
707.6000,0.00232108
707.4000,0.00232132
707.2000,0.00232049
707.0000,0.00232019
706.8000,0.00232001
706.6000,0.00232144
706.4000,0.00232025
706.2000,0.00232001
706.0000,0.00232079
705.8000,0.00231959
705.6000,0.00231846
705.4000,0.00231822
705.2000,0.00231691
705.0000,0.00231643
704.8000,0.00231577
704.6000,0.00231416
704.4000,0.00231326
704.2000,0.00231332
704.0000,0.00231171
703.8000,0.00231195
703.6000,0.00231034
703.4000,0.00230807
703.2000,0.00230622
703.0000,0.0023058
702.8000,0.00230532
702.6000,0.0023021
702.4000,0.00230079
702.2000,0.00229798
702.0000,0.0022978
701.8000,0.00229577
701.6000,0.00229321
701.4000,0.00229136
701.2000,0.00228957
701.0000,0.00228843
700.8000,0.00228682
700.6000,0.00228509
700.4000,0.00228622
700.2000,0.0022833
700.0000,0.00228264
699.8000,0.00228336
699.6000,0.00228085
699.4000,0.00227924
699.2000,0.00227775
699.0000,0.00227566
698.8000,0.00227548
698.6000,0.00227255
698.4000,0.00227237
698.2000,0.00227213
698.0000,0.00227058
697.8000,0.00227058
697.6000,0.0022707
697.4000,0.00226963
697.2000,0.00226706
697.0000,0.0022676
696.8000,0.00226766
696.6000,0.00226766
696.4000,0.00226885
696.2000,0.00226825
696.0000,0.00226784
695.8000,0.00226557
695.6000,0.00226396
695.4000,0.00226306
695.2000,0.00226449
695.0000,0.00226318
694.8000,0.0022627
694.6000,0.00226211
694.4000,0.0022624
694.2000,0.00226264
694.0000,0.00226408
693.8000,0.00226437
693.6000,0.00226557
693.4000,0.00226563
693.2000,0.0022673
693.0000,0.00226778
692.8000,0.00226879
692.6000,0.00226748
692.4000,0.00226634
692.2000,0.00226754
692.0000,0.00226599
691.8000,0.00226646
691.6000,0.00226634
691.4000,0.00226587
691.2000,0.00226599
691.0000,0.00226509
690.8000,0.00226724
690.6000,0.00226611
690.4000,0.00226545
690.2000,0.00226414
690.0000,0.0022642
689.8000,0.00226497
689.6000,0.00226342
689.4000,0.0022639
689.2000,0.00226491
689.0000,0.00226521
688.8000,0.00226342
688.6000,0.00226163
688.4000,0.00226049
688.2000,0.00225894
688.0000,0.00225882
687.8000,0.00225811
687.6000,0.00225751
687.4000,0.00225715
687.2000,0.00225518
687.0000,0.00225363
686.8000,0.00225112
686.6000,0.00224963
686.4000,0.00224838
686.2000,0.00224796
686.0000,0.00224742
685.8000,0.00224748
685.6000,0.00224575
685.4000,0.00224444
685.2000,0.00224479
685.0000,0.00224235
684.8000,0.00224175
684.6000,0.00224115
684.4000,0.0022396
684.2000,0.00223883
684.0000,0.00224032
683.8000,0.00223883
683.6000,0.00223751
683.4000,0.00223668
683.2000,0.00223697
683.0000,0.00223757
682.8000,0.0022362
682.6000,0.00223632
682.4000,0.0022368
682.2000,0.00223894
682.0000,0.00223859
681.8000,0.00223793
681.6000,0.00223757
681.4000,0.00223644
681.2000,0.00223441
681.0000,0.00223542
680.8000,0.00223709
680.6000,0.00223483
680.4000,0.0022356
680.2000,0.00223733
680.0000,0.00223686
679.8000,0.00223626
679.6000,0.00223745
679.4000,0.00223775
679.2000,0.00223942
679.0000,0.00223883
678.8000,0.00223865
678.6000,0.00224032
678.4000,0.00224014
678.2000,0.00224026
678.0000,0.00224145
677.8000,0.00224288
677.6000,0.00223972
677.4000,0.00224091
677.2000,0.00223889
677.0000,0.00223757
676.8000,0.00223787
676.6000,0.00223787
676.4000,0.00223847
676.2000,0.00223733
676.0000,0.00223715
675.8000,0.00223721
675.6000,0.00223751
675.4000,0.00223924
675.2000,0.00223739
675.0000,0.00223697
674.8000,0.00223548
674.6000,0.00223387
674.4000,0.00223142
674.2000,0.00223124
674.0000,0.0022316
673.8000,0.00222957
673.6000,0.00222856
673.4000,0.00222862
673.2000,0.00222736
673.0000,0.00222557
672.8000,0.00222665
672.6000,0.00222581
672.4000,0.0022236
672.2000,0.0022242
672.0000,0.00222402
671.8000,0.00222277
671.6000,0.00222193
671.4000,0.00222086
671.2000,0.00222241
671.0000,0.00222128
670.8000,0.00222217
670.6000,0.00222229
670.4000,0.00222217
670.2000,0.0022199
670.0000,0.00221883
669.8000,0.00221937
669.6000,0.00221901
669.4000,0.00221507
669.2000,0.00221334
669.0000,0.00221172
668.8000,0.00221017
668.6000,0.00221143
